"STELAŻ 145x45 ZEW","","DO DOMU 70M 145 STELAŻ, POWYŻEJ DO SCIAN ZEWNETRZYNCH 195","MB","45","10",""
"STELAŻ 195x45 ZEW","","","MB","45","10",""
"STELAZ 95X45 WEW","","","M3","45","10",""
"ZSZYWKI DO STEICO","","","SZT","45","10",""
"STEICO","","","M2","45","10",""
"SIATKA PODTYNKOWA","","","M2","45","10",""
"KLEJ","","","KG","45","10",""
"TYNK","","","KG","45","10",""
"PŁYTA OSB 15MM","","","M2","45","10",""
"WEŁNA","","ODJAC POZNIEJ OKNA","M3","45","10",""
"FOLIA WIATROIZOLACYJNA","","","M2","45","10",""
"KONTRŁATY","","","MB","45","10",""
"ZSZYWKI DO FOLII","","","SZT.","45","10",""
"GWOŻDZIE DO KONTRŁAT","","","SZT.","45","10",""
"DESKA ELEWACYJNA","","","M2","45","10",""
"WKRĘTY 5X100","","","SZT.","45","10",""
"KOŁKI FI15","","","SZT.","45","10",""
"WKRĘTY 5X100","","JEŻELI DOM DO 70M2 DWA WKRĘTY Z GÓRY, POWYŻEJ 3","SZT.","45","10",""
"FARBA REMMERS","","","L","45","10",""
"FARBA TEKNOS","","","L","45","10",""
"IMPREGNAT","","","L","45","10",""
